,Mkt-Rf,SMB,HML,Rf
19260701,0.1,-0.24,-0.28,0.009
19260702,0.45,-0.31,-0.07,0.009
19260706,0.17,0.28,-0.34,0.009
19260707,0.09,-0.61,0.07,0.009
19260708,0.21,-0.36,0.16,0.009
19260709,-0.71,0.43,0.55,0.009
19260710,0.62,-0.49,-0.14,0.009
19260712,0.04,0.03,0.54,0.009
19260713,0.48,-0.25,-0.23,0.009
19260714,0.04,0.09,-0.47,0.009
19260715,-0.43,0.54,-0.3,0.009
19260716,0.53,0.01,-0.56,0.009
19260717,0.34,0.44,-0.62,0.009
19260719,-0.01,0.01,-0.49,0.009
19260720,-0.57,-0.23,0.15,0.009
19260721,-0.6,0.21,0.3,0.009
19260722,-0.73,-0.31,-0.18,0.009
19260723,-0.02,0.08,0.06,0.009
19260724,-0.14,0.44,-0.06,0.009
19260726,0.53,-0.37,-0.24,0.009
19260727,0.43,-0.44,0.27,0.009
19260728,1.09,0.05,-0.26,0.009
19260729,0.36,-0.6,-1,0.009
19260730,0.14,-0.47,0.55,0.009
19260731,0.46,-0.11,-0.17,0.009
19260802,0.84,-0.21,-0.01,0.01
19260803,0.47,-0.27,-0.58,0.01
19260804,-0.36,0.15,0.24,0.01
19260805,-0.09,0,0.73,0.01
19260806,0.68,0.08,0.17,0.01
19260807,0.46,0.09,-0.23,0.01
19260809,0.21,-0.04,-0.25,0.01
19260810,-1.4,0.33,0.19,0.01
19260811,-0.57,0.2,0.33,0.01
19260812,0.84,-0.76,0.43,0.01
19260813,0.58,-0.84,0.26,0.01
19260814,0.69,0.15,-0.34,0.01
19260816,0.07,0.22,0.7,0.01
19260817,-0.95,0.32,0.15,0.01
19260818,0.26,0.09,0.04,0.01
19260819,-0.6,0.11,0.1,0.01
19260820,-0.2,-0.36,0.42,0.01
19260821,0.32,-0.06,0.5,0.01
19260823,0.49,-0.47,0.63,0.01
19260824,-0.84,0.49,-0.11,0.01
19260825,-0.32,-0.44,0.27,0.01
19260826,0.53,0.1,0.5,0.01
19260827,0.35,0.13,-0.39,0.01
19260828,0.34,0.15,-0.06,0.01
19260830,0.3,0,0.42,0.01
19260831,0.58,-0.52,-0.03,0.01
19260901,0.55,0.53,-0.07,0.009
19260902,-0.06,-0.07,0.21,0.009
19260903,0.5,-0.29,0.04,0.009
19260907,0.59,-0.24,-0.23,0.009
19260908,-0.51,-0.11,0.07,0.009
19260909,-0.07,0.16,0.26,0.009
19260910,-0.83,0.09,-0.14,0.009
19260911,-0.44,0.31,0.12,0.009
19260913,-0.03,-0.11,0.5,0.009
19260914,0.9,-0.61,0.11,0.009
19260915,-0.21,0.4,-0.19,0.009
19260916,-0.18,-0.33,0.1,0.009
19260917,-1.01,-0.17,-0.29,0.009
19260918,0.7,-0.28,-0.11,0.009
19260920,-0.64,0.02,-0.01,0.009
19260921,0.3,-0.42,0.19,0.009
19260922,-0.13,0.05,-0.01,0.009
19260923,0.26,-0.16,0.06,0.009
19260924,0.62,-0.18,-0.02,0.009
19260925,0.21,0.02,-0.56,0.009
19260927,-0.12,0.14,0.39,0.009
19260928,0,-0.02,-0.35,0.009
19260929,-0.3,0.2,-0.18,0.009
19260930,0.3,-0.22,0.06,0.009
19261001,0.73,-0.26,-0.21,0.013
19261002,-0.1,-0.02,-0.08,0.013
19261004,-1.4,-0.12,-0.12,0.013
19261005,-1.1,0.43,-0.73,0.013
19261006,-0.56,-0.7,-0.29,0.013
19261007,-0.77,0.31,0.29,0.013
19261008,0.59,-0.36,0.59,0.013
19261009,-0.96,0.43,-0.06,0.013
19261011,-0.69,-0.09,-0.17,0.013
19261013,0.69,-0.31,-0.03,0.013
19261014,0.97,-0.46,1.09,0.013
19261015,-1.83,0.11,-0.31,0.013
19261016,-0.73,-0.35,0.41,0.013
19261018,0.7,-0.15,0.48,0.013
19261019,-1.06,0.39,-0.56,0.013
19261020,-0.25,-0.58,-1.17,0.013
19261021,1.53,-0.11,0.58,0.013
19261022,-0.4,0.43,0.19,0.013
19261023,0.54,0.51,0.2,0.013
19261025,-0.1,0.35,-0.03,0.013
19261026,0.32,0.02,0.3,0.013
19261027,1,-0.46,0.2,0.013
19261028,-0.08,0.69,0.2,0.013
19261029,-0.06,0.02,-0.33,0.013
19261030,-0.25,0.19,0.24,0.013
19261101,0.46,-0.1,-0.43,0.013
19261103,0.2,-0.23,-0.27,0.013
19261104,0.59,-0.14,0.7,0.013
19261105,0.07,-0.09,0.23,0.013
19261106,0.16,-0.29,0.05,0.013
19261108,0.52,-0.06,0.09,0.013
19261109,0.13,0.29,-0.49,0.013
19261110,-0.6,0.15,0.08,0.013
19261111,0.67,0.04,0.1,0.013
19261112,0.24,-0.02,-0.37,0.013
19261113,-0.24,0.12,-0.16,0.013
19261115,0.37,0.29,-0.25,0.013
19261116,0.15,-0.31,-0.05,0.013
19261117,-0.35,-0.35,0.45,0.013
19261118,-0.48,0.17,0.19,0.013
19261119,-0.64,0.55,0.06,0.013
19261120,0.4,0.01,0.13,0.013
19261122,0.57,0.17,-0.19,0.013
19261123,0.33,0.02,0.21,0.013
19261124,0.08,-0.22,0.2,0.013
19261126,0.2,-0.02,0.04,0.013
19261127,-0.15,-0.04,-0.28,0.013
19261129,-0.37,-0.14,0.06,0.013
19261130,0.26,0.04,-0.5,0.013
19261201,0.36,0.06,-0.34,0.011
19261202,0.51,-0.01,0.11,0.011
19261203,0.32,-0.04,0.07,0.011
19261204,-0.17,0.19,0.1,0.011
19261206,0.04,0.32,-0.37,0.011
19261207,-0.04,0.34,-0.52,0.011
19261208,-0.08,0.21,0.25,0.011
19261209,0.45,-0.14,0.44,0.011
19261210,0.35,-0.16,0.51,0.011
19261211,0.09,-0.1,-0.5,0.011
19261213,0.42,0.64,0.01,0.011
19261214,0.1,-0.09,0.14,0.011
19261215,0.17,-0.21,0.22,0.011
19261216,-0.63,-0.2,0.05,0.011
19261217,0.91,-0.74,0.68,0.011
19261218,0.42,-0.22,0.21,0.011
19261220,-0.31,0.08,-0.14,0.011
19261221,-0.03,-0.38,-0.19,0.011
19261222,0.02,-0.19,-0.53,0.011
19261223,0.28,0.02,-0.46,0.011
19261224,0.31,0.21,0.26,0.011
19261227,-0.22,-0.15,-0.4,0.011
19261228,-1.07,-0.08,-0.17,0.011
19261229,0.44,-0.15,-0.06,0.011
19261230,-0.35,0.43,0.09,0.011
19261231,0.33,0.3,0.67,0.011
19270103,-0.79,0.19,0.08,0.01
19270104,0.31,0.15,-0.67,0.01
19270105,0.14,0.43,-0.3,0.01
19270106,-0.17,0,0.07,0.01
19270107,0.3,-0.24,0.43,0.01
19270108,0.39,-0.18,0.28,0.01
19270110,0.14,0.02,0.16,0.01
19270111,-0.28,-0.36,0.87,0.01
19270112,0.07,-0.06,0.02,0.01
19270113,-0.04,0.2,-0.3,0.01
19270114,0.05,-0.86,0.93,0.01
19270115,0.13,0.1,0.83,0.01
19270117,-0.04,-0.19,0.78,0.01
19270118,-0.06,-0.21,0,0.01
19270119,0.61,0.01,-0.77,0.01
19270120,-0.17,-0.31,0.13,0.01
19270121,-0.01,0.6,1.29,0.01
19270122,-0.36,0.25,0.33,0.01
19270124,-0.48,0.46,1.44,0.01
19270125,-1.07,-0.48,-1.29,0.01
19270126,0.19,0.12,0.49,0.01
19270127,-0.35,0,-0.42,0.01
19270128,0.16,0.16,0.77,0.01
19270129,0.73,-0.4,-0.28,0.01
19270131,0.61,0.13,-0.04,0.01
19270201,-0.01,0.56,1.07,0.012
19270202,0.7,-0.22,0.14,0.012
19270203,0.17,0.2,-0.05,0.012
19270204,0.37,0.12,1.38,0.012
19270205,-0.18,0.31,0.44,0.012
19270207,-0.13,0.61,0.52,0.012
19270208,0.1,0.17,1.06,0.012
19270209,0.04,-0.89,-0.55,0.012
19270210,0.08,0.27,-0.68,0.012
19270211,0.31,-0.42,-0.64,0.012
19270214,0.49,-0.13,-0.28,0.012
19270215,0.1,-0.29,-0.13,0.012
19270216,-0.02,-0.01,1.55,0.012
19270217,0.24,0.07,0.85,0.012
19270218,0.32,-0.72,-0.11,0.012
19270219,0.01,0.39,-0.48,0.012
19270221,-0.17,0.21,-0.92,0.012
19270223,0.72,-0.32,-0.13,0.012
19270224,0.14,0.35,0.08,0.012
19270225,0.21,0.24,-0.33,0.012
19270226,0.07,-0.18,-0.05,0.012
19270228,0.55,-0.38,0.25,0.012
19270301,-0.4,-0.03,-0.54,0.011
19270302,-1.14,-0.15,-0.33,0.011
19270303,1.02,-0.04,0.05,0.011
19270304,-0.45,0.22,-0.17,0.011
19270305,-0.24,0.6,-0.47,0.011
19270307,-0.37,-0.1,-0.57,0.011
19270308,0.12,-0.55,-0.31,0.011
19270309,0.49,0.18,0.34,0.011
19270310,0.46,0.1,0.45,0.011
19270311,0.17,-0.25,0.24,0.011
19270312,-0.04,-0.06,-0.19,0.011
19270314,0.18,0.05,-0.77,0.011
19270315,-0.81,-0.1,-0.43,0.011
19270316,1.02,-0.49,-0.06,0.011
19270317,0.42,-0.29,-0.44,0.011
19270318,-0.79,0.1,-0.41,0.011
19270319,0.04,0,-0.2,0.011
19270321,0.17,-0.54,0.05,0.011
19270322,-1.06,0.17,-0.54,0.011
19270323,0.19,0.01,0.5,0.011
19270324,0.68,-0.04,0.06,0.011
19270325,0.16,0.45,-0.34,0.011
19270326,0.34,0.15,0.17,0.011
19270328,0.52,-0.24,0.08,0.011
19270329,-0.23,-0.09,-0.4,0.011
19270330,-0.62,0.16,1.17,0.011
19270331,0.3,-0.85,0.56,0.011
19270401,-0.05,-0.19,-0.31,0.01
19270402,-0.08,0.19,0.02,0.01
19270404,0.53,-0.23,1.16,0.01
19270405,0.59,-0.34,0.09,0.01
19270406,0.11,-0.1,-0.04,0.01
19270407,0.24,-0.35,0.33,0.01
19270408,0.31,0.33,-0.02,0.01
19270409,0.03,-0.13,0.29,0.01
19270411,0.19,0.05,-0.22,0.01
19270412,-0.29,0.56,-0.12,0.01
19270413,0.21,0.14,-1.15,0.01
19270414,0.09,0.37,-0.21,0.01
19270416,0.18,0.55,0.18,0.01
19270418,-0.03,-0.17,0.76,0.01
19270419,0.18,-0.08,0.33,0.01
19270420,0.27,-0.37,0.94,0.01
19270421,0.36,-0.24,-0.75,0.01
19270422,0.07,-0.34,0.05,0.01
19270423,-0.37,0.23,0,0.01
19270425,-1.56,0.07,0.1,0.01
19270426,0.58,0.05,-0.43,0.01
19270427,-0.38,0.06,0.2,0.01
19270428,-1.11,0.18,-0.35,0.01
19270429,0.48,0,-0.18,0.01
19270430,-0.01,0.21,-0.08,0.01
19270502,0.27,0.22,0.47,0.012
19270503,0.74,0.03,-0.65,0.012
19270504,0.78,-0.13,0.11,0.012
19270505,0.3,0.3,-0.29,0.012
19270506,0.28,-0.14,0.87,0.012
19270507,0.28,0.27,-0.46,0.012
19270509,0.2,0.08,0.39,0.012
19270510,-0.07,-0.12,0.13,0.012
19270511,-0.14,-0.03,0.04,0.012
19270512,-0.11,-0.34,0.38,0.012
19270513,0.49,-0.1,-0.24,0.012
19270514,0.02,0.29,0.03,0.012
19270516,-0.72,0.54,-0.21,0.012
19270517,0.47,0.08,0.21,0.012
19270518,0.51,-0.6,0.09,0.012
19270519,0.19,-0.41,-0.15,0.012
19270520,0.43,-0.53,0.31,0.012
19270521,0.22,0.17,0.11,0.012
19270523,0.15,0.5,0.72,0.012
19270524,-0.14,0.26,0.83,0.012
19270525,0.16,0.68,0.46,0.012
19270526,0.11,-0.1,0.59,0.012
19270527,0.44,0.33,0.02,0.012
19270528,0.12,0.7,0.4,0.012
19270531,0.25,-0.62,0.41,0.012
19270601,0.32,-0.07,0.25,0.01
19270602,0.08,-0.09,0.27,0.01
19270603,-0.88,0.18,-0.66,0.01
19270604,0.43,0.12,0.2,0.01
19270606,0.51,0.19,1.19,0.01
19270607,-0.29,0.57,-0.22,0.01
19270608,0.28,-0.14,0.44,0.01
19270609,0.02,0.18,-0.75,0.01
19270610,-0.38,0.14,-0.37,0.01
19270611,-0.11,-0.29,-0.19,0.01
19270614,-1.51,0.02,-0.7,0.01
19270615,0.88,0.12,0.2,0.01
19270616,0.62,-0.35,-0.18,0.01
19270617,0.16,0.62,1.01,0.01
19270618,-0.12,0.15,0.61,0.01
19270620,-0.18,0.45,-0.59,0.01
19270621,-0.35,-0.32,0.46,0.01
19270622,-0.01,0.04,-0.59,0.01
19270623,-0.86,-0.47,-0.76,0.01
19270624,0.13,-0.05,0.31,0.01
19270625,-0.1,-0.09,0.08,0.01
19270627,-1.22,-0.55,-0.63,0.01
19270628,0.26,-0.03,-0.16,0.01
19270629,0.03,0.12,-0.49,0.01
19270630,-0.09,-0.06,-0.18,0.01
19270701,0.65,0.03,-0.11,0.012
19270702,0.55,0.27,0.17,0.012
19270705,0.84,-0.41,0.14,0.012
19270706,0.6,0.23,-0.07,0.012
19270707,-0.25,0.14,-0.03,0.012
19270708,-0.18,-0.4,0.13,0.012
19270709,0.17,0.19,-0.1,0.012
19270711,0.4,-0.5,0.28,0.012
19270712,0.33,-0.42,0.53,0.012
19270713,0.27,0.2,-0.16,0.012
19270714,0.42,-0.05,-0.79,0.012
19270715,0.26,0,-0.35,0.012
19270716,0.16,0.12,0.18,0.012
19270718,0.18,-0.15,0.04,0.012
19270719,0.26,-0.17,0.4,0.012
19270720,0.44,0.12,-0.75,0.012
19270721,-0.04,0.12,-0.52,0.012
19270722,-0.05,-0.08,-0.26,0.012
19270723,0.17,0.17,0.16,0.012
19270725,0.41,-0.37,0.07,0.012
19270726,0.25,-0.25,-0.21,0.012
19270727,0.07,-0.53,-0.04,0.012
19270728,0.14,-0.25,-0.23,0.012
19270729,0.47,-0.27,0.23,0.012
19270730,0.47,-0.78,0.24,0.012
19270801,0.54,-0.23,0.1,0.01
19270802,0.62,-0.4,-0.29,0.01
19270803,-0.65,0.44,-0.46,0.01
19270804,0.93,-0.31,0.12,0.01
19270805,-0.59,0.3,-0.39,0.01
19270806,-0.11,0.1,-0.36,0.01
19270808,-1.08,0.63,-0.55,0.01
19270809,0.94,-0.14,0.44,0.01
19270810,0.24,-0.11,-0.25,0.01
19270811,-1.02,-0.42,-0.19,0.01
19270812,-1.57,-0.41,-0.94,0.01
19270813,0.89,-0.24,0.14,0.01
19270815,1.26,-0.03,0.88,0.01
19270816,0.62,0.04,0.09,0.01
19270817,0.31,0.5,-0.13,0.01
19270818,0.03,-0.25,0.04,0.01
19270819,0.15,0.22,-0.31,0.01
19270820,0.35,0.03,-0.34,0.01
19270822,0.35,-0.17,0.12,0.01
19270823,0.05,-0.01,0.11,0.01
19270824,0.2,0.05,-0.25,0.01
19270825,0.02,-0.16,-0.77,0.01
19270826,0.22,-0.27,-0.06,0.01
19270827,-0.11,0.31,-0.13,0.01
19270829,-0.03,0.01,0.33,0.01
19270830,-0.03,-0.29,-0.72,0.01
19270831,-0.49,0.06,0.17,0.01
19270901,0.8,-0.12,-0.37,0.008
19270902,0.58,0.04,0.19,0.008
19270903,0.5,-0.13,-0.33,0.008
19270906,0.91,-0.65,0.26,0.008
19270907,0.45,-0.35,0.24,0.008
19270908,0.01,-0.1,0.18,0.008
19270909,-0.63,-0.02,-0.57,0.008
19270910,0.43,-0.06,0.22,0.008
19270912,-0.36,0.4,-0.34,0.008
19270913,1.29,-0.77,-0.2,0.008
19270914,0.31,-0.18,-0.24,0.008
19270915,0.24,-0.18,-0.02,0.008
19270916,0.08,-0.35,0.1,0.008
19270917,-0.29,0.23,-0.21,0.008
19270919,-0.32,-0.31,-0.03,0.008
19270920,0.55,0.1,0.4,0.008
19270921,-0.15,0.21,-0.01,0.008
19270922,-1.16,0.07,-0.42,0.008
19270923,0.52,-0.04,0.09,0.008
19270924,0.65,-0.33,-0.18,0.008
19270926,-0.91,0.1,0.06,0.008
19270927,0.22,-0.51,0.05,0.008
19270928,-0.38,-0.05,0.46,0.008
19270929,0.17,-0.11,0,0.008
19270930,1.25,-0.32,0.02,0.008
19271001,0.49,-0.06,0.23,0.01
19271003,0.26,-0.22,0.55,0.01
19271004,-0.4,0.32,-1.3,0.01
19271005,-0.29,0.02,-0.18,0.01
19271006,0.24,-0.07,0.56,0.01
19271007,-0.74,0.5,-0.72,0.01
19271008,-0.32,-0.13,0.19,0.01
19271010,-0.51,-0.28,-0.41,0.01
19271011,0.04,0.25,-0.09,0.01
19271013,0.69,0.02,-0.91,0.01
19271014,-0.01,0.64,0.08,0.01
19271015,0.02,0.4,0.09,0.01
19271017,-1.26,0.03,-0.26,0.01
19271018,0.34,-0.55,-0.09,0.01
19271019,-0.81,0.2,0.45,0.01
19271020,-1.02,-0.1,0.27,0.01
19271021,-0.76,0.85,-0.84,0.01
19271022,-0.69,-0.02,0.33,0.01
19271024,0.37,-0.11,-0.42,0.01
19271025,1.6,-0.17,-0.81,0.01
19271026,0.05,0.68,0.07,0.01
19271027,-0.41,0.35,-0.16,0.01
19271028,-1.45,0.21,-0.96,0.01
19271029,-0.5,-0.56,0.03,0.01
19271031,0.76,-0.06,-0.33,0.01
19271101,-0.01,0.1,0.15,0.009
19271102,1,-0.53,-0.2,0.009
19271103,1.12,-0.37,0.26,0.009
19271104,-0.03,0.22,0.11,0.009
19271105,0.55,0.03,-0.03,0.009
19271107,0.69,0.38,-0.27,0.009
19271109,-0.78,0.38,-0.42,0.009
19271110,0.24,-0.01,-0.44,0.009
19271111,0.87,-0.34,-0.32,0.009
19271112,0.34,0.16,-0.18,0.009
19271114,0.51,0.33,0.07,0.009
19271115,0.11,-0.16,0.7,0.009
19271116,-0.04,0.42,0.14,0.009
19271117,0.16,0.3,-0.07,0.009
19271118,0.61,0.11,-0.09,0.009
19271119,0.27,0.42,0.01,0.009
19271121,-0.52,0.13,0.42,0.009
19271122,0.37,-0.12,-0.13,0.009
19271123,0.28,0.21,0.06,0.009
19271125,0.24,0.13,0.43,0.009
19271126,-0.01,0.54,-0.02,0.009
19271128,-0.76,0.14,0.07,0.009
19271129,0.65,0.37,-0.25,0.009
19271130,0.48,-0.14,-0.21,0.009
19271201,-0.48,-0.24,0.04,0.009
19271202,0.26,-0.58,0.98,0.009
19271203,0.36,-0.24,0.22,0.009
19271205,-0.4,0.35,0.14,0.009
19271206,-0.03,0.32,-0.25,0.009
19271207,-0.5,-0.1,-0.52,0.009
19271208,-0.86,0.23,-0.2,0.009
19271209,1.13,0,-0.07,0.009
19271210,0.06,0.48,-0.21,0.009
19271212,0.58,0.78,-0.59,0.009
19271213,0.38,-0.27,-0.33,0.009
19271214,-0.37,0.06,0,0.009
19271215,0.52,0.2,0.21,0.009
19271216,0.66,-0.26,-0.39,0.009
19271217,0.05,-0.15,0.66,0.009
19271219,0.32,0.22,-0.31,0.009
19271220,0.01,-0.23,0.24,0.009
19271221,-0.07,-0.08,0.25,0.009
19271222,-0.06,-0.47,0.24,0.009
19271223,0.2,-0.31,0.12,0.009
19271224,0.14,0.03,0.35,0.009
19271227,0.01,0.18,-0.24,0.009
19271228,-0.57,0.22,-0.23,0.009
19271229,0.15,-0.1,-1.11,0.009
19271230,0.43,0.73,-0.02,0.009
19271231,0.32,0.18,-0.02,0.009
19280103,0.45,0.86,-0.12,0.01
19280104,-0.14,0.5,-0.03,0.01
19280105,-0.73,-0.11,0.23,0.01
19280106,0.62,0.56,0.11,0.01
19280107,0.11,-0.04,0.24,0.01
19280109,-0.89,0.13,-0.06,0.01
19280110,-0.83,-0.47,0.09,0.01
19280111,0.12,0.34,0.32,0.01
19280112,0.5,0.23,-0.1,0.01
19280113,0.61,0.23,0.15,0.01
19280114,-0.67,0.04,-0.04,0.01
19280116,-0.89,-0.5,-0.39,0.01
19280117,0.17,0.29,0.4,0.01
19280118,-0.31,-0.31,-0.16,0.01
19280119,0.57,0.22,-0.11,0.01
19280120,0.57,0.14,-0.03,0.01
19280121,0.21,0.39,-0.33,0.01
19280123,0.61,0.17,-0.08,0.01
19280124,0.27,0.46,-0.31,0.01
19280125,-1.04,-0.28,-0.38,0.01
19280126,0.52,0.75,-0.18,0.01
19280127,0.27,-0.2,0.04,0.01
19280128,-0.5,0.42,0.21,0.01
19280130,-0.42,-0.34,-0.35,0.01
19280131,0.32,0.54,0.37,0.01
19280201,-0.25,0.56,-0.69,0.014
19280202,0.44,0.13,0.17,0.014
19280203,-1.14,-0.47,-0.44,0.014
19280204,0.05,-0.44,0.16,0.014
19280206,0.2,0.32,0.08,0.014
19280207,-0.28,-0.24,-0.7,0.014
19280208,0.08,-0.04,-0.14,0.014
19280209,0.46,-0.11,-0.13,0.014
19280210,-0.09,-0.47,-0.16,0.014
19280211,-0.02,0.11,0.53,0.014
19280214,-0.38,0.55,-0.41,0.014
19280215,-0.28,-0.53,-0.07,0.014
19280216,-0.32,-0.62,0.08,0.014
19280217,-1.66,-0.67,-0.59,0.014
19280218,-0.47,-0.61,0.12,0.014
19280220,-0.16,0.19,0.3,0.014
19280221,1.06,0.39,0.24,0.014
19280223,0.23,0.08,-0.1,0.014
19280224,0.34,-0.33,0.48,0.014
19280225,0.11,-0.16,0.73,0.014
19280227,-0.49,0.07,-0.31,0.014
19280228,0.35,0.03,0.38,0.014
19280229,0.57,0.25,-0.22,0.014
19280301,0.25,-0.11,-0.15,0.011
19280302,0.07,0,-0.67,0.011
19280303,0.49,-0.01,-0.62,0.011
19280305,0.66,-0.11,0.12,0.011
19280306,0.39,0.27,-0.18,0.011
19280307,-0.43,0.21,-0.06,0.011
19280308,0.42,-0.02,0.55,0.011
19280309,1.23,-0.6,-0.36,0.011
19280310,-0.27,-0.37,-0.09,0.011
19280312,0.41,-0.17,-0.07,0.011
19280313,-0.3,0.03,-0.02,0.011
19280314,0.13,0,0.46,0.011
19280315,0.72,-0.4,0.19,0.011
19280316,0.93,-0.6,0.26,0.011
19280317,0.19,0.02,0.47,0.011
19280319,0.14,1.19,-0.71,0.011
19280320,0.42,0.36,-0.18,0.011
19280321,0.86,0.12,0.51,0.011
19280322,-0.36,-0.29,-0.38,0.011
19280323,0.75,-0.4,-0.66,0.011
19280324,0.07,-0.43,-0.07,0.011
19280326,0.95,0.09,-0.26,0.011
19280327,-0.33,-0.24,1.07,0.011
19280328,0.03,0.44,0.07,0.011
19280329,0.19,0.27,0.38,0.011
19280330,1.49,-0.08,-0.64,0.011
19280331,-0.57,0.44,0.14,0.011
19280402,-0.87,0.69,0.51,0.01
19280403,0.6,0.24,-0.35,0.01
19280404,-0.07,0.33,0.26,0.01
19280405,1.13,-0.27,0.25,0.01
19280409,0.34,0.97,0.16,0.01
19280410,-0.73,0.4,-0.26,0.01
19280411,1.41,0.01,0.89,0.01
19280412,-0.25,0.54,-0.42,0.01
19280413,1.4,0.01,-0.47,0.01
19280414,-0.44,0.1,-0.19,0.01
19280416,0.52,-0.3,0.24,0.01
19280417,-0.68,0.16,-0.3,0.01
19280418,0.02,0.18,-0.11,0.01
19280419,0.58,0.57,0.66,0.01
19280420,-1.33,0.05,0.1,0.01
19280423,-0.73,-0.05,0.38,0.01
19280424,0.36,-0.01,0.06,0.01
19280425,0.73,-0.05,1.45,0.01
19280426,0.63,0.11,0.62,0.01
19280427,1.04,-0.14,0.47,0.01
19280428,0.5,-0.26,0.09,0.01
19280430,0.06,0.25,-0.55,0.01
19280501,0.26,0.19,0.45,0.015
19280502,0.08,0.41,-0.28,0.015
19280503,0.39,0.2,-0.65,0.015
19280504,1.18,-0.68,-0.24,0.015
19280507,0.69,0.33,-0.24,0.015
19280508,-0.56,-0.11,-0.35,0.015
19280509,0.04,-0.28,0.64,0.015
19280510,-0.17,0.37,-0.38,0.015
19280511,0.77,0.55,-0.52,0.015
19280514,0.49,0.56,0.11,0.015
19280515,-0.04,0.81,-0.52,0.015
19280516,-1.52,-0.12,-0.47,0.015
19280517,0.47,-0.31,-0.68,0.015
19280518,-0.72,0.17,1.16,0.015
19280521,-1.16,0.64,-0.2,0.015
19280522,-1.41,-0.49,-0.56,0.015
19280523,1.72,-0.15,-0.24,0.015
19280524,0.51,0.59,0.36,0.015
19280525,0.2,0.33,-0.06,0.015
19280528,-1.47,-0.42,-0.32,0.015
19280529,0.88,-0.33,-0.07,0.015
19280531,0.94,0.5,0.21,0.015
19280601,0.31,-0.05,-0.33,0.012
19280602,0.64,0.32,-0.06,0.012
19280604,-1.85,0.07,-0.22,0.012
19280605,0.21,0.36,-0.08,0.012
19280606,-0.84,0.4,0.09,0.012
19280607,-0.52,-0.76,-0.8,0.012
19280608,-1.38,-0.16,-0.81,0.012
19280609,-1.3,-0.23,-0.29,0.012
19280611,-2.31,-1.09,-0.41,0.012
19280612,-2.33,-3.21,0.01,0.012
19280613,3.14,0.32,0.73,0.012
19280614,0.95,1.49,1.01,0.012
19280615,-1.24,-0.17,0.46,0.012
19280616,-0.03,-0.57,-0.03,0.012
19280618,-2.01,0.11,-0.2,0.012
19280619,-0.62,-1.26,-0.2,0.012
19280620,1.38,0.06,0.44,0.012
19280621,0.15,0.48,0.51,0.012
19280622,-0.03,0.17,0.43,0.012
19280623,-0.65,0.14,-0.26,0.012
19280625,0.09,-0.66,0.49,0.012
19280626,1,-0.18,0.01,0.012
19280627,1.01,0.58,-0.15,0.012
19280628,0.82,0.21,-0.23,0.012
19280629,0.49,-0.1,0.33,0.012
19280630,0.12,0.06,-0.29,0.012
19280702,-1.2,-0.03,-0.28,0.013
19280703,1.61,-0.29,0.13,0.013
19280705,0.94,-0.03,0.04,0.013
19280706,-0.32,0.18,0.33,0.013
19280707,0.26,0.04,0.39,0.013
19280709,0.01,0.06,-0.46,0.013
19280710,-0.27,0.1,-0.75,0.013
19280711,-2.33,0.16,-0.16,0.013
19280712,-0.64,-0.63,0.66,0.013
19280713,0.7,-0.12,-0.09,0.013
19280714,-0.04,0.28,0.33,0.013
19280716,-1.23,-0.13,-0.04,0.013
19280717,0.45,-0.33,-0.47,0.013
19280718,0.89,-0.11,-0.46,0.013
19280719,-0.16,0.34,0.6,0.013
19280720,0.11,-0.06,0.11,0.013
19280721,-0.24,0.17,0.19,0.013
19280723,0.62,-0.24,-0.36,0.013
19280724,0.04,0.16,0.61,0.013
19280725,0.43,-0.09,-0.34,0.013
19280726,0.22,-0.15,0.29,0.013
19280727,0.78,-0.35,-0.79,0.013
19280728,0.25,-0.18,0.03,0.013
19280730,-0.13,-0.11,0.08,0.013
19280731,-0.11,-0.03,-0.11,0.013
19280801,0.26,-0.08,0.01,0.012
19280802,-0.45,0.11,-0.01,0.012
19280803,0.22,-0.05,0.19,0.012
19280804,0.22,0.16,0.18,0.012
19280806,0.73,-0.24,-0.32,0.012
19280807,-0.35,0.11,0.51,0.012
19280808,-1.12,0.15,0.03,0.012
19280809,0.12,-0.02,-0.31,0.012
19280810,-0.2,0.06,-0.04,0.012
19280811,0.12,0.08,-0.14,0.012
19280813,-0.05,0.05,0.23,0.012
19280814,-0.66,0.54,0.04,0.012
19280815,1.38,-0.67,-0.31,0.012
19280816,0.79,-0.22,0.23,0.012
19280817,0.29,-0.31,-0.47,0.012
19280818,0.28,0.02,0.52,0.012
19280820,0.23,0.08,-0.07,0.012
19280821,0.98,-0.4,-0.47,0.012
19280822,0.14,0,-0.61,0.012
19280823,0,0.03,0.03,0.012
19280824,1.38,-0.37,-0.17,0.012
19280825,0.28,-0.11,-0.06,0.012
19280827,-0.29,0.14,-0.63,0.012
19280828,0.58,-0.39,-0.23,0.012
19280829,0.24,0.03,0.09,0.012
19280830,0.27,0.02,0.1,0.012
19280831,1.15,-0.67,-0.27,0.012
19280901,0.25,0.15,0.07,0.011
19280904,0.41,-0.04,-0.1,0.011
19280905,0.41,0.01,-0.09,0.011
19280906,-0.4,0.17,0.51,0.011
19280907,0.65,0.35,-0.2,0.011
19280908,-0.3,0.19,0.04,0.011
19280910,-0.37,0.23,-0.02,0.011
19280911,0.63,-0.19,0.21,0.011
